113030.832,446211.775,0.847
113031.568,446211.838,0.849
113035.521,446212.662,0.798
113039.314,446213.449,0.792
113043.126,446214.228,0.796
113047.205,446215.089,0.791
113051.050,446215.915,0.788
113055.021,446216.750,0.778
113058.885,446217.576,0.781
113062.799,446218.420,0.774
113066.849,446219.284,0.775
113070.748,446220.157,0.783
113074.564,446221.050,0.784
113078.428,446221.911,0.783
113082.344,446222.767,0.788
113086.292,446223.623,0.809
113090.295,446224.511,0.792
113094.098,446225.326,0.774
113098.018,446226.171,0.777
113101.914,446227.022,0.770
113105.726,446227.863,0.784
113109.713,446228.738,0.773
113113.571,446229.576,0.776
113117.655,446230.494,0.797
113121.432,446231.252,0.798
113125.465,446231.993,0.777
113129.318,446232.634,0.783
113133.256,446233.284,0.779
113137.233,446233.874,0.780
113141.310,446234.429,0.781
113145.223,446234.962,0.792
113149.144,446235.451,0.782
113153.221,446235.994,0.781
113157.109,446236.500,0.774
113161.097,446237.054,0.786
113165.156,446237.617,0.784
113168.969,446238.105,0.777
113173.053,446238.641,0.782
113177.084,446239.192,0.798
113181.001,446239.727,0.778
113184.884,446240.272,0.785
113188.903,446240.812,0.789
113192.795,446241.333,0.771
113196.854,446241.867,0.788
113200.796,446242.388,0.796
113204.831,446242.882,0.802
113208.739,446243.391,0.793
113212.639,446243.854,0.798
113216.738,446244.329,0.789
113220.678,446244.733,0.795
113224.703,446245.139,0.800
113228.633,446245.479,0.785
113232.622,446245.817,0.782
113236.659,446246.142,0.785
113240.652,446246.435,0.803
113244.679,446246.676,0.781
113248.705,446246.891,0.777
113252.599,446247.100,0.778
113256.316,446247.334,0.786
113260.585,446247.565,0.791
113264.626,446247.755,0.781
113268.552,446247.921,0.779
113272.646,446248.093,0.775
113276.613,446248.228,0.779
113280.627,446248.329,0.777
113283.950,446248.399,0.778
113288.560,446248.456,0.773
113292.636,446248.513,0.755
113296.669,446248.585,0.766
113300.667,446248.649,0.776
113304.616,446248.755,0.776
113308.693,446248.808,0.755
113312.671,446248.881,0.763
113316.728,446248.961,0.767
113320.582,446249.025,0.770
113324.626,446249.095,0.782
113328.749,446249.158,0.776
113334.030,446249.200,0.782
113337.197,446249.255,0.788
113341.131,446249.303,0.801
113345.206,446249.347,0.805
113349.114,446249.403,0.818
113353.185,446249.382,0.803
113357.138,446249.396,0.800
113361.169,446249.368,0.789
113365.266,446249.318,0.781
113369.195,446249.236,0.799
113373.164,446249.148,0.796
113377.203,446249.077,0.791
113381.133,446248.916,0.789
