112661.020,446085.905,0.807
112662.884,446086.451,0.797
112664.876,446087.031,0.804
112666.726,446087.566,0.810
112669.590,446088.375,0.802
112672.317,446089.196,0.796
112674.424,446089.818,0.795
112674.433,446089.825,0.788
112676.287,446090.339,0.794
112678.246,446090.886,0.791
112680.130,446091.453,0.783
112682.038,446091.996,0.787
112684.009,446092.595,0.795
112685.961,446093.161,0.799
112687.935,446093.719,0.796
112689.846,446094.304,0.798
112691.754,446094.875,0.802
112693.622,446095.429,0.810
112695.659,446096.014,0.823
112697.571,446096.588,0.827
112699.476,446097.167,0.817
112701.421,446097.702,0.812
112703.497,446098.341,0.800
112705.144,446098.826,0.791
112707.165,446099.432,0.784
112709.010,446099.964,0.789
112710.942,446100.554,0.787
112712.903,446101.133,0.776
112714.797,446101.665,0.776
112716.754,446102.268,0.767
112718.624,446102.824,0.762
112720.544,446103.428,0.763
112722.414,446104.010,0.777
112724.390,446104.623,0.772
112726.199,446105.197,0.768
112728.206,446105.823,0.780
112730.075,446106.396,0.779
112732.328,446107.107,0.785
112734.217,446107.703,0.785
112736.056,446108.265,0.781
112737.963,446108.844,0.794
112739.883,446109.441,0.805
112741.944,446110.065,0.795
112743.732,446110.608,0.800
112745.636,446111.203,0.789
112747.739,446111.849,0.788
112749.558,446112.415,0.796
112751.454,446113.025,0.797
112753.271,446113.649,0.795
112755.293,446114.311,0.802
112757.143,446114.952,0.801
112758.962,446115.552,0.796
112761.264,446116.358,0.798
112762.676,446116.860,0.787
112764.771,446117.603,0.799
112766.668,446118.278,0.802
112768.632,446119.015,0.811
112770.493,446119.681,0.813
112772.642,446120.473,0.817
112774.581,446121.200,0.815
112776.440,446121.887,0.815
112778.393,446122.599,0.812
112780.228,446123.300,0.807
112782.128,446124.005,0.815
112784.025,446124.722,0.821
112785.964,446125.458,0.808
112787.821,446126.157,0.800
112789.893,446126.966,0.825
112791.824,446127.756,0.882
112793.764,446128.588,0.949
112795.570,446129.408,1.016
112797.419,446130.194,1.066
